taxonRemarks,taxonID,scientificName,vernacularName,language
Flowering plants,floraislands.is/trisepil.html,Trisetum triflorum,Móalógresi,is
Flowering plants,floraislands.is/minuastr.html,Minuartia stricta,Móanóra,is
Flowering plants,floraislands.is/junctrif.html,Juncus trifidus,Móasef,is
Flowering plants,floraislands.is/carrupes.html,Carex rupestris,Móastör,is
Flowering plants,floraislands.is/sparghyp.html,Sparganium hyperboreum,Mógrafabrúsi,is
Flowering plants,floraislands.is/lychnflo.html,Lychnis flos-cuculi,Munkahetta,is
Flowering plants,floraislands.is/cerasalp.html,Cerastium alpinum,Músareyra,is
Flowering plants,floraislands.is/vaccimic.html,Vaccinium microcarpus,Mýraberjalyng,is
Flowering plants,floraislands.is/epilopal.html,Epilobium palustre,Mýradúnurt,is
Flowering plants,floraislands.is/lathypal.html,Lathyrus palustris,Mýraertur,is
Flowering plants,floraislands.is/trichcae.html,Trichophorum caespitosum,Mýrafinnungur,is
Flowering plants,floraislands.is/galiupal.html,Galium palustre,Mýramaðra,is
Flowering plants,floraislands.is/triglpal.html,Triglochin palustris,Mýrasauðlaukur,is
Flowering plants,floraislands.is/juncualp.html,Juncus alpinoarticularus,Mýrasef,is
Flowering plants,floraislands.is/parnapal.html,Parnassia palustris,Mýrasóley,is
Flowering plants,floraislands.is/carnigra.html,Carex nigra,Mýrastör,is
Flowering plants,floraislands.is/violapal.html,Viola palustris,Mýrfjóla,is
Flowering plants,floraislands.is/koeniisl.html,Koenigia islandica,Naflagras,is
Flowering plants,floraislands.is/rumexlon.html,Rumex longifolius,Njóli,is
Flowering plants,floraislands.is/oxyridig.html,Oxyria digyna,Ólafssúra,is
Flowering plants,floraislands.is/cirsihel.html,Cirsium heterophyllum,Purpuraþistill,is
Flowering plants,floraislands.is/vaccivit.html,Vaccinium vitis-idaea,Rauðberjalyng,is
Flowering plants,floraislands.is/knautarv.html,Knautia arvensis,Rauðkollur,is
Flowering plants,floraislands.is/trifopra.html,Trifolium pratense,Rauðsmári,is
Flowering plants,floraislands.is/carrufin.html,Carex rufina,Rauðstör,is
Flowering plants,floraislands.is/festurub.html,Festuca rubra,Rauðvingull,is
Flowering plants,floraislands.is/sorbuauc.html,Sorbus aucuparia,Reyniviður,is
Flowering plants,floraislands.is/hieroodo.html,Hierochloë odorata,Reyrgresi,is
Flowering plants,floraislands.is/carlache.html,Carex lachenalii,Rjúpustör,is
Flowering plants,floraislands.is/pilosaur.html,Pilosella aurantiaca,Roðafífill,is
Flowering plants,floraislands.is/cardiand.html,Carex diandra,Safastör,is
Flowering plants,floraislands.is/bromuine.html,Bromus inermis,Sandfax,is
Flowering plants,floraislands.is/glauxmar.html,Glaux maritima,Sandlæðingur,is
Flowering plants,floraislands.is/myosostr.html,Myosotis stricta,Sandmunablóm,is
Flowering plants,floraislands.is/loisepro.html,Loiseleuria procumbens,Sauðamergur,is
Flowering plants,floraislands.is/plantlan.html,Plantago lanceolatum,Selgresi,is
Flowering plants,floraislands.is/salixcap.html,Salix caprea,Selja,is
